number,course,homework,howDIR,whereDIR,R,moodleProblem,RstudioLocal,RCloudorNot,pdfHtmlNotes,forum,socialCommunications,eCommunications,videocalll,social,lectureType,movies,eMeeting,you,preferredNumber,transport,sport,highschool,birthYear,shoesNumber,videotime,siblings,preferredColor,pet,hM,hP,h,soccerTeam,hairColor,eyesColor,sex,weight,hobby,birthMonth,preferredPet,preferredFood,remarks
77,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
messaggi","WhatsApp
FaceTime","You Tube
Twitter
Instagram",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
AppleTV+","Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Auto personale,"Atletica leggera
Pattinaggio",Liceo Linguistico,2002,38,5,1,Blu,"Gatto
Cane
Pesci",167,178,162,Torino,Biondi,Azzurri,Femmina,56,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
guardare documentari, film, telefilm, serie tv, sport
sport",8,lince,sushi,NA
78,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,NA,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,"You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,10,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici",Istituto tecnico settore tecnologico,2001,47,2,1,Altro,Pesci,170,189,187,JUVENTUS,Castani,Marroni,Maschio,77,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
videogiochi",12,koala,pasta al pesto,NA
79,2020 MS1801 9415 A001  GR1,Molto,Telefono,Casa,Spesso utile,Talvolta,No,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
Altro","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video
TimVision","Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Treno,Arti marziali,Liceo Linguistico,2001,45,4,0,Rosso,Cane,165,194,184,Torino,Neri,Verdi,Maschio,75,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
fotografia
guardare documentari, film, telefilm, serie tv, sport
sport
shopping
storia dell’arte
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
videogiochi",1,lupo,pizza,NA
80,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Raramente utile,NA,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
Skype
Altro","You Tube
Instagram
Altro",Video registrati in differita,Amazon Prime video,"Zoom
Meet",2020 MS1801 9415 A001  GR1,9,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Tennis/tennis tavolo",Liceo Scientifico,2001,43,4,1,Nero,Nessuno,160,170,170,Milan,Castani,Marroni,Maschio,56,"ascoltare la musica
sport
videogiochi",4,tigre,spaghetti alla carbonara,NA
81,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,"You Tube
Instagram",Video delle lezioni in Aula in diretta streaming,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,5,Auto personale,NA,Liceo Linguistico,2000,44,1,1,Blu,Cane,156,177,174,NA,Castani,Marroni,Maschio,82,"ascoltare la musica
scrittura
tecnologia, pc, scienza",5,cane,salmone,NA
82,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,6,Auto personale,NA,Istituto Professionale,2000,46,4,1,Blu,"Cane
Pesci
Rettili",167,173,183,NA,Castani,Verdi,Maschio,100,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
motori",4,cane,pizza,NA
83,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,NA,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Messsanger","You Tube
Instagram
Facebook",Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,10,Car sharing,NA,Istituto Professionale,2001,38,5,1,Azzurro,Nessuno,NA,NA,160,NA,Castani,Marroni,Femmina,47,"ascoltare la musica
palestra
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",7,cane,McDonald,NA
84,2020 MS1801 9415 A001  GR1,Molto,Telefono,Casa,Inutile,Spesso,No,Raramente,html,NA,2020 MS1801 9415 A001  GR1,skype,"WhatsApp
Skype","You Tube
Instagram",Video registrati in differita,Netflix,"Zoom
Meet
Skype
FaceTime",2020 MS1801 9415 A001  GR1,10,Car sharing,"Calcio e calcetto
Sci
Tennis/tennis tavolo
Pallavolo/beach volley
Equitazione",Liceo Scientifico,2001,39,3,3,Nero,"Cane
Pesci
Rettili",165,182,168,Milan,Castani,Verdi,Femmina,67,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
moda
shopping
videogiochi",10,lupo,pizza,NA
85,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Mai,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
hangouts","WhatsApp
Altro","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,8,Auto personale,"Calcio e calcetto
Alpinismo
Sci
Pallavolo/beach volley
Running",Istituto Professionale,2001,43,2,2,Rosso,"Cane
Pesci
Rettili
Uccelli",165,185,190,juventus,Castani,Verdi,Maschio,70,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
sport
turismo",5,ippopotamo,parmigiana,NA
86,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi
Telegram","WhatsApp
Skype
FaceTime","Twitter
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video
Infinity","Meet
Skype
FaceTime",2020 MS1801 9415 A001  GR1,6,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Istituto tecnico settore tecnologico,1999,40,1,0,Nero,Rettili,168,180,168,Inter,Neri,Marroni,Femmina,80,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cucinare
fotografia
turismo
volontariato (croce rossa, 118)",4,leone,pasta al forno,NA
87,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram","WhatsApp
FaceTime",Instagram,Video registrati in differita,"Netflix
Amazon Prime video
Infinity",Meet,2020 MS1801 9415 A001  GR1,9,Piedi,"Ginnastica, aerobica, fitness e cultura fisica
Equitazione",Istituto tecnico settore economico,2001,38,3,0,Blu,Cane,160,180,163,NA,Castani,Altro,Femmina,50,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
danza
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
sport
shopping
suonare strumenti musicali
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo
videogiochi",2,cavallo,carne alla griglia,NA
88,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"Skype
FaceTime",Instagram,Video registrati in differita,Netflix,"Zoom
Meet
Skype
FaceTime",2020 MS1801 9415 A001  GR1,7,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,40,1,2,Verde,"Gatto
Cane",176,187,175,Juventus,Castani,Marroni,Femmina,65,"camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
moda
palestra
sport
shopping",9,koala,pizza,NA
89,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
FaceTime","You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,6,Auto personale,Pallavolo/beach volley,Liceo Linguistico,2001,40,6,0,Viola,Cane,165,170,170,NA,Biondi,Verdi,Femmina,70,"palestra
videogiochi
volontariato (croce rossa, 118)",9,lupo,frutta,NA
90,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Mai,No,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime
Altro","You Tube
Instagram
Facebook
Altro",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,2,Piedi,Pattinaggio,Liceo Scientifico,2000,41,1,3,Giallo,Nessuno,160,180,171,Juventus,Neri,Marroni,Femmina,68,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
cucinare
fotografia
moda
sport
scrittura
shopping
suonare strumenti musicali
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo",10,pantera,gelato,NA
91,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi
messanger",WhatsApp,"You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,5,Auto personale,Equitazione,Liceo Scientifico,2001,40,NA,2,Blu,"Gatto
Cane",155,188,167,Juventus,Castani,Marroni,Femmina,60,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
guardare documentari, film, telefilm, serie tv, sport",9,cane,pizza,NA
92,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Raramente utile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram",NA,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,1,Treno,"Ginnastica, aerobica, fitness e cultura fisica
Sci",Liceo Scientifico,2001,43,8,2,Nero,"Gatto
Cane",170,180,185,Milan,Neri,Marroni,Maschio,71,"ascoltare la musica
guardare documentari, film, telefilm, serie tv, sport
palestra
sport
suonare strumenti musicali
videogiochi",7,NA,NA,"animale preferito= Moloch Horridus.
cibo preferito= pollo."
93,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Mai,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",FaceTime,"Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,5,Treno,"Pallavolo/beach volley
Running",Istituto tecnico settore economico,1998,38,14,1,Verde,Nessuno,163,183,174,milan,Rossi,Verdi,Femmina,54,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
guardare documentari, film, telefilm, serie tv, sport
sport
shopping",7,cane,pizza,NA
94,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime",Instagram,Lezioni frontali in Aula,Netflix,"Zoom
Meet
FaceTime",2020 MS1801 9415 A001  GR1,7,Altro,"Ginnastica, aerobica, fitness e cultura fisica
Arti marziali",Liceo Classico,2001,44,2,0,Verde,Nessuno,160,174,182,Inter,Castani,Marroni,Maschio,72,"ascoltare la musica
cantare
cucinare
palestra
sport",9,tigre,pasta al forno,NA
95,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
Skype
FaceTime","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Piedi,"Ginnastica, aerobica, fitness e cultura fisica
Sci",Liceo Classico,2001,36,2,2,Rosa,Cane,158,175,158,milan,Castani,Azzurri,Femmina,52,"arti orientali: yoga, wing chun
ascoltare la musica
ballare
cucinare
danza
guardare documentari, film, telefilm, serie tv, sport
moda
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",12,leone,lasagne,NA
96,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Talvolta,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram","Skype
Altro","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video
Infinity","Zoom
Meet
Skype
Duo",2020 MS1801 9415 A001  GR1,8,Bicicletta,"Ginnastica, aerobica, fitness e cultura fisica
Arti marziali
Ciclismo
Running",Liceo Scientifico,2001,41,3,1,Arancione,Nessuno,NA,180,175,juventus,Castani,Marroni,Maschio,75,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
fotografia
giardinaggio, orto
guardare documentari, film, telefilm, serie tv, sport
motori
palestra
sport
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo
videogiochi",11,koala,pizza,NA
97,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
Skype
FaceTime
Altro","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Tennis/tennis tavolo",Liceo Scientifico,2001,42,2,1,Blu,"Gatto
Cane",165,189,170,NA,Rossi,Marroni,Femmina,58,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
sport
storia dell’arte
suonare strumenti musicali
volontariato (croce rossa, 118)",10,cane,pasta al pesto,NA
98,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,You Tube,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Meet,2020 MS1801 9415 A001  GR1,4,Auto personale,"Calcio e calcetto
Running",Istituto tecnico settore tecnologico,2000,43,3,0,Azzurro,Cane,167,170,185,inter,Biondi,Azzurri,Maschio,76,"letture particolari: manga, news di natura finanziaria
sport
tecnologia, pc, scienza",5,orso,frutta,NA
99,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Talvolta,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"whatsapp
Altro","WhatsApp
Altro","You Tube
Instagram
Altro",Lezioni frontali in Aula,Amazon Prime video,Meet,2020 MS1801 9415 A001  GR1,6,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici",Istituto tecnico settore tecnologico,2001,39,5,0,Blu,"Gatto
Cane
Uccelli",160,180,161,NA,Castani,Marroni,Femmina,68,"ascoltare la musica
guardare documentari, film, telefilm, serie tv, sport
sport
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",7,cane,pizza,NA
100,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Raramente,html,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Messsanger","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Meet,2020 MS1801 9415 A001  GR1,7,Auto personale,Calcio e calcetto,Liceo Scientifico,1996,42,4,0,Nero,Nessuno,158,160,171,Milan,Neri,Marroni,Maschio,91,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
sport
turismo
videogiochi",8,cane,bistecca,NA
101,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,You Tube,Video registrati in differita,Amazon Prime video,Meet,2020 MS1801 9415 A001  GR1,NA,NA,NA,Istituto tecnico settore economico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2020 MS1801 9415 A001  GR1,Molto,Telefono,Casa,Raramente utile,Spesso,Si,Mai,NA,"Al momento non c'è niente che vorrei cambiare, forse la qualità video guardandolo dal punto di vista del buffering che ho sentito qua e la studenti che come me gli si interrompe il video di lezioni registrate, altro no.",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Altro","WhatsApp
Altro","You Tube
Instagram",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),NA,"Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Atletica leggera",Istituto tecnico settore tecnologico,2000,46,8,3,Blu,Gatto,165,173,187,Milan,Neri,Marroni,Maschio,79,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
motori
palestra
sport
videogiochi",10,leone,sushi,"Aggiungerei, ""Quante ore dedichi al cibo?"""
103,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram
Facebook
Linkedin",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Zoom,2020 MS1801 9415 A001  GR1,3,Piedi,Atletica leggera,Liceo Scientifico,2001,41,3,1,Rosso,"Cane
Pesci
Uccelli
Altro",170,180,170,nessuna,Castani,Marroni,Maschio,59,"ascoltare la musica
fotografia
guardare documentari, film, telefilm, serie tv, sport
motori
sport
tecnologia, pc, scienza",12,puma,pizza,NA
104,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Qualche volta utile,Mai,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime
Google Duo","You Tube
Twitter
Instagram",Video delle lezioni in Aula in diretta streaming,"Netflix
Amazon Prime video",Zoom,2020 MS1801 9415 A001  GR1,10,Auto personale,"Sport acquatici
Running",Liceo Linguistico,2001,40,7,1,Rosso,Nessuno,167,183,174,Roma,Castani,Marroni,Femmina,58,"arti orientali: yoga, wing chun
ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cantare
cinema
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
sport
recitazione (stand up comedy)
shopping
storia dell’arte",8,leone,avocado,NA
105,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp
messaggi","WhatsApp
Skype","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
TimVision","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,10,Auto personale,"Calcio e calcetto
Ginnastica, aerobica, fitness e cultura fisica
Running",Liceo Scientifico,2001,43,3,1,Azzurro,Gatto,163,175,173,Lazio,Castani,Marroni,Maschio,68,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cantare
cinema
guardare documentari, film, telefilm, serie tv, sport
sport
tecnologia, pc, scienza
videogiochi",9,aquila,risotto agli scampi,NA
106,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi
Telegram","WhatsApp
Skype
FaceTime
Google Duo
Altro","You Tube
Instagram",Video registrati in differita,Amazon Prime video,"Zoom
Meet
Skype
Duo
FaceTime",2020 MS1801 9415 A001  GR1,7,Auto personale,Pallavolo/beach volley,Liceo Scientifico,2001,40,6,1,Nero,"Cane
Uccelli
Altro",155,170,165,NA,Altro,Marroni,Femmina,NA,"giardinaggio, orto
motori",1,NA,melanzane,domanda 39: animale preferito avvoltoio capovaccaio
107,2020 MS1801 9415 A001  GR1,NA,Computer,Casa,Qualche volta utile,Talvolta,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",Altro,"Twitter
Instagram
Altro",Lezioni frontali in Aula,NA,"Zoom
Meet",2020 MS1801 9415 A001  GR1,4,Auto personale,"Pallavolo/beach volley
Equitazione",Altro,2001,36,2,1,Azzurro,Gatto,162,165,153,NESSUNA,Neri,Marroni,Femmina,48,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
fotografia
moda
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo",11,gatto,sushi,NA
108,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
Altro","You Tube
Twitter
Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,2,Piedi,Pallavolo/beach volley,Liceo Classico,2001,40,3,2,Bianco,Cane,163,180,170,Juventus,Biondi,Marroni,Femmina,57,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
sport
storia dell’arte
turismo",8,leone,pasta ai frutti di mare,NA
109,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Inutile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,WhatsApp,"You Tube
Twitter
Instagram",NA,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,8,Auto personale,"Sci
Ciclismo
Running",Liceo Classico,2001,47,2,1,Azzurro,Nessuno,170,189,192,Nessuna,Castani,Verdi,Maschio,118,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
motori
studiare lingue orientali
suonare strumenti musicali
tecnologia, pc, scienza
videogiochi",3,gatto,lasagne,NA
110,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Difficile,Talvolta,No,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram
Facebook
Altro",Video registrati in differita,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,10,Auto personale,"Calcio e calcetto
Tennis/tennis tavolo
Pallavolo/beach volley",Liceo Classico,2001,43,3,2,Bianco,"Gatto
Cane",175,175,179,Juventus,Castani,Marroni,Maschio,76,"ascoltare la musica
cinema
guardare documentari, film, telefilm, serie tv, sport
sport
suonare strumenti musicali
videogiochi",6,lupo,sushi,NA
111,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Mai,html,"Il forum funziona molto bene, l'insegnante è sempre molto disponibile e risponde rapidamente. Tuttavia, frequentare le lezioni a distanza talvolta risulta difficoltoso per mancanza di un confronto diretto",2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
Skype
Google Duo","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,5,Treno,NA,Liceo Scientifico,2001,40,2,1,Arancione,"Cane
Pesci",168,180,170,juventus,Castani,Marroni,Femmina,65,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
cucinare
guardare documentari, film, telefilm, serie tv, sport
suonare strumenti musicali",8,gatto,pesce,NA
112,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Talvolta,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
Altro","You Tube
Instagram",Video registrati in differita,Amazon Prime video,"Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Autobus,Pallavolo/beach volley,Liceo Classico,2002,42,3,3,Azzurro,"Gatto
Cane",170,180,180,nessuna,Castani,Marroni,Femmina,74,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cucinare
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport
sport",2,panda,NA,NA
113,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
Google Duo","You Tube
Twitter
Instagram",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video
AppleTV+",Meet,2020 MS1801 9415 A001  GR1,7,Piedi,"Ginnastica, aerobica, fitness e cultura fisica
Sci
Equitazione",Altro,2000,36,3,0,Verde,"Gatto
Cane",175,182,162,nessuna,Castani,Marroni,Femmina,54,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport",3,volpe,lasagne,NA
114,2020 MS1801 9415 A001  GR1,Poco,Computer,Casa,Raramente utile,Raramente,No,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,Altro,"Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video",Zoom,2020 MS1801 9415 A001  GR1,7,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Istituto Professionale,2000,38,2,1,Azzurro,Cane,160,180,160,Nessuna,Biondi,Verdi,Femmina,60,"ascoltare la musica
ballare
guardare documentari, film, telefilm, serie tv, sport
palestra
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",5,cane,pizza,NA
115,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Mai,Si,Mai,pdf,Penso che le interazioni didattiche studenti-studenti e soprattutto studenti-docente siano già più che buone,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
Altro","You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,1,Auto personale,Pattinaggio,Liceo Linguistico,2001,35,8,1,Altro,"Gatto
Cane
Altro",165,170,156,milan,Castani,Verdi,Femmina,51,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cantare
cucinare
guardare documentari, film, telefilm, serie tv, sport
suonare strumenti musicali
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo",12,riccio,pasta ai frutti di mare,NA
